2_Localiser_participant_1_Date_2017_5_17_Time_11_0_15.4633
dummy	1	4.052177e+04
dummy	2	4.052195e+04
dummy	3	4.053277e+04
RefVol	4	4.054719e+04
trialNo	condition	adjustTime	duration	rawOnset	rawOffset
1	Silence	4.057572e-02	2.004573e+00	4.054723e+04	4.054923e+04
2	Silence	2.056863e+00	3.005755e+00	4.054924e+04	4.055225e+04
3	Silence	5.073302e+00	3.002979e+00	4.055226e+04	4.055526e+04
4	Sentences	8.097831e+00	2.007777e+00	4.055529e+04	4.055729e+04
5	Silence	1.011442e+01	3.001254e+00	4.055730e+04	4.056030e+04
6	Silence	1.312262e+01	2.501308e+00	4.056031e+04	4.056281e+04
7	Sentences	1.563061e+01	2.004046e+00	4.056282e+04	4.056482e+04
8	Sentences	1.764712e+01	2.000742e+00	4.056483e+04	4.056684e+04
9	Silence	1.965530e+01	3.001309e+00	4.056684e+04	4.056984e+04
10	Silence	2.266347e+01	2.500605e+00	4.056985e+04	4.057235e+04
11	Sentences	2.517173e+01	2.001094e+00	4.057236e+04	4.057436e+04
12	Silence	2.717982e+01	2.001339e+00	4.057437e+04	4.057637e+04
13	Silence	2.918816e+01	3.000825e+00	4.057638e+04	4.057938e+04
14	Silence	3.219611e+01	2.001562e+00	4.057938e+04	4.058138e+04
15	Sentences	3.420439e+01	2.001750e+00	4.058139e+04	4.058339e+04
16	Sentences	3.621261e+01	2.001027e+00	4.058340e+04	4.058540e+04
17	Sentences	3.822073e+01	2.001585e+00	4.058541e+04	4.058741e+04
18	Silence	4.022887e+01	3.001278e+00	4.058742e+04	4.059042e+04
19	Sentences	4.323708e+01	2.001333e+00	4.059042e+04	4.059243e+04
20	Sentences	4.524518e+01	2.000913e+00	4.059243e+04	4.059443e+04
21	Silence	4.725343e+01	2.501388e+00	4.059444e+04	4.059694e+04
22	Sentences	4.976171e+01	2.001345e+00	4.059695e+04	4.059895e+04
23	Silence	5.176982e+01	2.501438e+00	4.059896e+04	4.060146e+04
24	Silence	5.427814e+01	2.501289e+00	4.060147e+04	4.060397e+04
25	Silence	5.678611e+01	2.001636e+00	4.060397e+04	4.060597e+04
26	Sentences	5.879435e+01	2.001859e+00	4.060598e+04	4.060798e+04
27	Sentences	6.080260e+01	2.001552e+00	4.060799e+04	4.060999e+04
28	Silence	6.281072e+01	3.000261e+00	4.061000e+04	4.061300e+04
29	Silence	6.581886e+01	2.500221e+00	4.061301e+04	4.061551e+04
30	Sentences	6.832687e+01	2.000918e+00	4.061551e+04	4.061752e+04
31	Silence	7.033509e+01	2.000718e+00	4.061752e+04	4.061952e+04
32	Sentences	7.234326e+01	2.001292e+00	4.061953e+04	4.062153e+04
33	Sentences	7.435137e+01	2.000317e+00	4.062154e+04	4.062354e+04
34	Sentences	7.635966e+01	2.000445e+00	4.062355e+04	4.062555e+04
35	Sentences	7.836782e+01	2.000345e+00	4.062556e+04	4.062756e+04
36	Sentences	8.037598e+01	2.000283e+00	4.062756e+04	4.062956e+04
37	Sentences	8.238421e+01	2.000437e+00	4.062957e+04	4.063157e+04
38	Silence	8.439240e+01	3.001334e+00	4.063158e+04	4.063458e+04
39	Sentences	8.740068e+01	2.001529e+00	4.063459e+04	4.063659e+04
40	Silence	8.940869e+01	2.001353e+00	4.063660e+04	4.063860e+04
final_volume	4.073258e+04	
