W,PRON,NL,NN,SFN,NBN,NBF,NON,NPN,BFNC,NP,Word
knush,nVS,5,0,0,16,13,35,15,445,3,N
reuth,ruT,5,0,0,1,1,296,19,798,3,N
weff,wEf,4,2,3,2,2,361,18,246,3,N
ciff,sIf,4,4,3,7,7,695,17,133,3,N
neech,niJ,5,2,11,5,5,128,18,954,3,N
dern,d3n,4,5,15,3,3,349,25,324,3,N
lafe,l1f,4,9,1058,3,2,321,22,399,3,N
gnach,n{J,5,1,0,1,0,11,18,603,3,N
gnake,n1k,5,1,14,19,19,11,23,468,3,N
bief,b2f,4,3,17,5,0,597,15,165,3,N
vique,vIk,5,1,1,2,0,77,17,238,3,N
ghief,g2f,5,3,120,5,0,6,13,383,3,N
pess,pEs,4,13,600,10,10,543,20,925,3,N
rhoun,r6n,5,0,0,1,1,5,19,579,3,N
gnith,nIT,5,0,0,3,3,11,12,483,3,N
thean,Tin,5,0,0,8,7,119,17,1249,3,N
phown,f6n,5,1,79,17,8,14,18,396,3,N
deace,dis,5,2,85,1,1,349,16,760,3,N
dirp,d3p,4,2,22,1,1,349,10,171,3,N
phiff,fIf,5,1,3,7,7,14,13,305,3,N
frew,fru,4,7,305,28,26,70,20,540,3,N
psyth,sIT,5,0,0,1,1,3,15,460,3,N
jadge,_{_,5,4,59,3,2,104,10,385,3,N
sharn,S#n,5,5,160,5,4,175,15,901,3,N
yeel,jil,4,6,374,10,10,71,20,450,3,N
phuv,fVv,4,1,0,2,2,14,14,116,3,N
dorce,d9s,5,1,157,1,1,349,21,404,3,N
chich,JIJ,5,2,3130,2,2,144,16,1017,3,N
pheem,fim,5,0,0,3,3,14,18,643,3,N
carce,k#s,5,2,5,2,1,695,19,634,3,N
peph,pEf,4,0,0,1,1,543,12,389,3,N
nirm,n3m,4,2,76,1,1,128,12,199,3,N
bymn,bIm,4,1,6,1,1,597,24,22,3,N
mave,m1v,4,17,6714,16,15,296,25,392,3,N
cype,s2p,4,3,131,1,1,695,21,324,3,N
yarm,j#m,4,5,223,6,4,71,10,432,3,N
jark,_#k,4,9,401,10,10,104,14,453,3,N
yurk,j3k,4,4,120,3,3,71,17,213,3,N
hass,h{s,4,14,237,11,6,301,22,453,3,N
sarp,s#p,4,3,9,5,4,1428,13,436,3,N
yoam,j5m,4,3,10,3,3,71,12,298,3,N
sirth,s3T,5,5,76,4,4,1428,17,534,3,N
gnish,nIS,5,1,0,5,5,11,12,436,3,N
woath,w5T,5,3,105,2,2,361,10,666,3,N
chutt,JVt,5,1,1,3,3,144,20,587,3,N
knime,n2m,5,1,36,11,11,35,18,356,3,N
teese,tis,5,5,1176,2,1,557,20,1233,3,N
tase,t1s,4,10,1256,6,3,557,16,555,3,N
ferve,f3v,5,3,79,4,4,447,14,467,3,N
jipe,_2p,4,5,41,8,8,104,10,417,3,N
voke,v5k,4,7,116,12,12,77,14,360,3,N
wauge,w9_,5,2,3,1,0,361,17,522,3,N
scier,sk7,5,0,0,3,3,135,11,373,3,N
voun,v6n,4,1,1,1,1,77,11,424,3,N
maff,m{f,4,3,2,4,2,296,17,230,3,N
yight,j2t,5,10,2411,17,17,71,22,272,3,N
ferg,f3g,4,2,3,1,1,447,14,248,3,N
yeap,jip,4,8,490,5,5,71,14,545,3,N
rarp,r#p,4,6,63,5,4,296,12,719,3,N
wrurp,r3p,5,0,0,2,2,43,10,340,3,N
koun,k6n,4,1,1,1,1,88,20,407,3,N
jurse,_3s,5,3,52,3,3,104,12,522,3,N
ceeth,siT,5,1,77,1,1,695,25,729,3,N
rhabe,r1b,5,0,0,1,1,5,21,386,3,N
chope,J5p,5,4,41,12,12,144,17,990,3,N
rhown,r6n,5,1,79,17,8,5,19,376,3,N
cibe,s2b,4,3,6,4,4,695,15,178,3,N
sarc,s#k,4,1,1,2,2,1428,24,446,3,N
chupe,Jup,5,2,2,1,1,144,15,811,3,N
charl,J#l,5,4,31,3,3,144,11,981,3,N
mome,m5m,4,14,5519,8,6,296,24,352,3,N
zean,zin,4,7,334,8,7,20,16,697,3,N
zeet,zit,4,5,359,11,11,20,16,385,3,N
zodd,zQd,4,1,3,2,2,20,14,81,3,N
gign,gIn,4,2,97,1,0,389,25,148,3,N
lerg,l3g,4,1,1,1,1,321,10,546,3,N
medge,mE_,5,6,29,9,9,296,11,1861,3,N
cauge,k9_,5,3,137,1,0,695,20,505,3,N
nart,n#t,4,8,476,13,11,128,24,505,3,N
yine,j2n,4,11,585,22,22,71,24,626,3,N
vart,v#t,4,9,539,13,11,77,14,466,3,N
lirm,l3m,4,1,70,1,1,321,17,312,3,N
kuick,kuk,5,1,65,1,0,88,18,379,3,N
zimb,zIm,4,1,7,2,1,20,14,128,3,N
tirp,t3p,4,0,0,1,1,557,15,201,3,N
rhof,rQf,4,1,45,2,1,5,17,206,3,N
biche,bIS,5,2,4,1,0,597,16,855,3,N
chune,Jun,5,3,5,4,4,144,15,926,3,N
ghiz,gIz,4,1,0,2,2,6,15,275,3,N
psech,sEJ,5,0,0,3,1,3,16,853,3,N
floy,fl4,4,7,49,9,9,121,15,377,3,N
ghiek,g2k,5,0,0,1,0,6,13,385,3,N
kniss,nIs,5,1,0,6,6,35,19,243,3,N
zimn,zIm,4,1,0,1,1,20,14,105,3,N
juff,_Vf,4,9,15,15,15,104,15,133,3,N
nurl,n3l,4,5,6,4,4,128,17,205,3,N
jach,_{J,4,3,653,1,0,104,14,547,3,N
gneme,nim,5,1,1,2,2,11,20,505,3,N
gneik,n1k,5,0,0,1,1,11,23,368,3,N
terg,t3g,4,3,71,1,1,557,12,356,3,N
yirt,j3t,4,2,19,6,6,71,12,200,3,N
ghiff,gIf,5,1,3,7,7,6,10,386,3,N
wris,rIs,4,1,3,7,1,43,19,410,3,N
dafe,d1f,4,9,175,3,2,349,15,185,3,N
chiff,JIf,5,4,120,7,7,144,12,667,3,N
douth,d6T,5,6,523,4,2,349,10,672,3,N
phub,fVb,4,2,5,15,15,14,19,159,3,N
heach,hiJ,5,6,207,10,10,301,19,1230,3,N
duile,dul,5,1,1,1,0,349,21,704,3,N
foap,f5p,4,4,33,1,1,447,16,303,3,N
beff,bEf,4,3,20,2,2,597,13,248,3,N
fogue,f5g,5,3,6,4,4,447,11,255,3,N
shing,SIN,5,6,470,18,18,175,13,929,3,N
ghaub,g9b,5,0,0,1,1,6,14,423,3,N
fike,f2k,4,11,2244,9,9,447,17,371,3,N
jeace,_is,5,1,85,1,1,104,11,651,3,N
chamb,J{m,5,1,0,2,2,144,20,772,3,N
shan,S{n,4,13,1594,20,18,175,24,731,3,N
noak,n5k,4,2,8,4,4,128,23,296,3,N
jass,_{s,4,13,233,11,6,104,15,281,3,N
ghoc,gQk,4,1,0,3,3,6,23,339,3,N
vauk,v9k,4,0,0,1,1,77,12,99,3,N
phim,fIm,4,4,19,14,14,14,25,269,3,N
kobe,k5b,4,2,11,4,4,88,16,192,3,N
meem,mim,4,6,337,3,3,296,21,467,3,N
kutch,kVJ,5,4,26,5,4,88,18,564,3,N
nush,nVS,4,9,123,16,13,128,15,410,3,N
nerk,n3k,4,4,81,4,3,128,19,465,3,N
nawk,n9k,4,2,13,2,2,128,24,177,3,N
tach,t{J,4,5,615,1,0,557,18,647,3,N
choam,J5m,5,0,0,3,3,144,14,832,3,N
biew,bju,4,4,222,1,1,597,19,206,3,N
phibe,f2b,5,0,0,4,4,14,11,350,3,N
doque,d5k,5,1,0,1,1,349,22,288,3,N
darb,d#b,4,7,217,2,2,349,10,423,3,N
shach,S{J,5,1,5,1,0,175,14,996,3,N
yiek,j2k,4,0,0,1,0,71,11,132,3,N
beese,bis,5,1,5,2,1,597,24,1179,3,N
ghybe,g2b,5,0,0,1,1,6,10,259,3,N
tarch,t#J,5,4,72,5,5,557,10,905,3,N
knong,nQN,5,0,0,10,10,35,16,394,3,N
turge,t3_,5,2,11,4,4,557,13,444,3,N
yome,j5m,4,8,3048,8,6,71,12,277,3,N
piege,pi_,5,3,115,2,2,543,19,412,3,N
weese,wis,5,1,5,2,1,361,17,1177,3,N
