W,PRON,NL,NN,SFN,NBN,NBF,NON,NPN,BFNC,NP,Word
hyme,h2m,4,2,473,2,2,301,24,208,3,N
yase,j1s,4,4,453,6,3,71,11,453,3,N
shurn,S3n,5,3,2,5,5,175,18,574,3,N
knazz,n{z,5,0,0,1,1,35,15,127,3,N
gnoss,nQs,5,2,24,12,11,11,24,246,3,N
deave,div,5,4,236,4,4,349,14,787,3,N
nove,n5v,4,15,798,19,13,128,17,341,3,N
pouse,p6s,5,9,1106,8,3,543,14,681,3,N
whyme,w2m,5,2,5,2,2,78,24,286,3,N
psoff,sQf,5,0,0,3,3,3,14,350,3,N
cirm,s3m,4,1,70,1,1,695,20,162,3,N
fobe,f5b,4,3,18,4,4,447,10,254,3,N
daive,d1v,5,2,86,1,1,349,22,512,3,N
vang,v{N,4,12,131,15,15,77,14,422,3,N
slar,sl#,4,13,81,14,13,120,13,748,3,N
thut,TVt,4,8,10992,15,14,119,16,472,3,N
mirch,m3J,5,4,68,1,1,296,12,586,3,N
nork,n9k,4,7,900,6,5,128,24,317,3,N
kess,kEs,4,7,515,10,10,88,17,897,3,N
whus,wVs,4,2,180,7,6,78,10,272,3,N
nedge,nE_,5,5,28,9,9,128,10,1940,3,N
leuth,luT,5,0,0,1,1,321,14,782,3,N
tise,t2s,4,6,1809,3,0,557,19,411,3,N
curch,k3J,5,1,2,2,2,695,18,622,3,N
phloy,fl4,5,1,0,9,9,2,15,286,3,N
nert,n3t,4,8,457,3,3,128,25,484,3,N
yote,j5t,4,8,134,8,8,71,15,326,3,N
shipe,S2p,5,5,98,8,8,175,12,832,3,N
yake,j1k,4,12,1664,19,19,71,17,410,3,N
shoul,S6l,5,3,24,3,1,175,12,761,3,N
dizz,dIz,4,1,1,2,2,349,24,68,3,N
raff,r{f,4,5,5,4,2,296,23,465,3,N
hurg,h3g,4,4,114,1,1,301,12,260,3,N
phec,fEk,4,1,1,3,3,14,20,412,3,N
jitch,_IJ,5,6,58,10,10,104,16,602,3,N
jeck,_Ek,4,7,152,9,9,104,19,293,3,N
knal,n{l,4,0,0,3,3,35,17,262,3,N
yete,jit,4,1,1,1,0,71,16,315,3,N
powl,p6l,4,9,84,10,9,543,23,301,3,N
sorch,s9J,5,2,22,3,3,1428,17,665,3,N
roche,rQS,5,1,0,2,2,296,18,1122,3,N
tith,tIT,4,3,6639,3,3,557,16,489,3,N
luch,lVJ,4,7,2014,2,2,321,20,581,3,N
duill,dul,5,2,10,1,0,349,21,528,3,N
phoop,fup,5,1,1,12,12,14,10,575,3,N
lirp,l3p,4,2,12,1,1,321,11,285,3,N
thri,Tr2,4,3,1,8,4,43,11,634,3,N
yull,jVl,4,12,402,12,9,71,12,307,3,N
ginn,gIn,4,2,2,3,3,389,25,416,3,N
cabe,k1b,4,11,1276,1,1,695,13,296,3,N
darse,d#s,5,0,0,2,2,349,11,771,3,N
hoff,hQf,4,3,3,3,3,301,11,279,3,N
phlir,fl3,5,0,0,4,4,2,15,291,3,N
fieve,fiv,5,1,2,2,1,447,11,405,3,N
veck,vEk,4,5,97,9,9,77,14,504,3,N
ferv,f3v,4,2,2,1,1,447,14,239,3,N
fafe,f1f,4,9,582,3,2,447,18,198,3,N
nybe,n2b,4,1,0,1,1,128,13,144,3,N
zauk,z9k,4,0,0,1,1,20,11,82,3,N
thepe,Tip,5,3,4209,1,0,119,15,984,3,N
gniek,n2k,5,0,0,1,0,11,18,192,3,N
saice,s1s,5,3,29,1,1,1428,23,471,3,N
hirch,h3J,5,2,7,1,1,301,16,679,3,N
phurg,f3g,5,0,0,1,1,14,14,286,3,N
seeth,siT,5,1,77,1,1,1428,25,846,3,N
dief,d2f,4,3,133,5,0,349,17,166,3,N
kirge,k3_,5,1,0,1,1,88,16,417,3,N
ghish,gIS,5,0,0,5,5,6,11,629,3,N
kirp,k3p,4,1,4,1,1,88,20,193,3,N
goll,gQl,4,15,221,12,4,389,25,378,3,N
jeel,_il,4,7,378,10,10,104,22,412,3,N
mibe,m2b,4,7,163,4,4,296,10,231,3,N
phipe,f2p,5,0,0,8,8,14,11,581,3,N
chull,JVl,5,1,11,12,9,144,12,780,3,N
vope,v5p,4,11,311,12,12,77,13,453,3,N
jork,_9k,4,6,900,6,5,104,17,280,3,N
knis,nIs,4,1,3,7,1,35,19,171,3,N
roob,rub,4,6,521,1,1,296,17,641,3,N
psice,s2s,5,1,88,14,14,3,20,444,3,N
sorm,s9m,4,6,488,5,4,1428,23,294,3,N
shoin,S4n,5,2,80,4,4,175,12,858,3,N
shoom,Sum,5,2,91,9,9,175,16,772,3,N
furg,f3g,4,3,4,1,1,447,14,205,3,N
plour,pl9,5,0,0,5,5,94,11,711,3,N
farn,f#n,4,13,122,5,4,447,19,489,3,N
jaff,_{f,4,3,3,4,2,104,10,153,3,N
furp,f3p,4,3,4,2,2,447,11,197,3,N
thimb,TIm,5,1,23,2,1,119,17,558,3,N
nool,nul,4,7,176,9,8,128,18,454,3,N
whoaf,w5f,5,0,0,2,2,78,11,415,3,N
turch,t3J,5,2,11,2,2,557,15,618,3,N
nuch,nVJ,4,3,1962,2,2,128,15,477,3,N
madge,m{_,5,6,7,3,2,296,18,462,3,N
jing,_IN,4,8,211,18,18,104,17,514,3,N
seum,sum,4,5,213,1,1,1428,22,354,3,N
rhook,ruk,5,1,68,12,2,5,24,490,3,N
woaf,w5f,4,5,13,2,2,361,11,235,3,N
wetch,wEJ,5,8,144,8,8,361,17,659,3,N
rhuch,rVJ,5,0,0,2,2,5,22,544,3,N
nung,nVN,4,7,89,14,14,128,16,357,3,N
ghene,gin,5,0,0,2,2,6,18,842,3,N
fape,f1p,4,13,558,11,11,447,21,493,3,N
gnoz,nQz,4,0,0,1,0,11,16,104,3,N
mook,muk,4,13,1408,12,2,296,21,413,3,N
taif,t1f,4,2,32,1,1,557,12,372,3,N
theep,Tip,5,1,39,13,13,119,15,923,3,N
yean,jin,4,9,793,8,7,71,18,683,3,N
thork,T9k,5,1,5,6,5,119,16,696,3,N
knush,nVS,5,0,0,16,13,35,15,445,3,N
reuth,ruT,5,0,0,1,1,296,19,798,3,N
weff,wEf,4,2,3,2,2,361,18,246,3,N
ciff,sIf,4,4,3,7,7,695,17,133,3,N
neech,niJ,5,2,11,5,5,128,18,954,3,N
dern,d3n,4,5,15,3,3,349,25,324,3,N
lafe,l1f,4,9,1058,3,2,321,22,399,3,N
gnach,n{J,5,1,0,1,0,11,18,603,3,N
gnake,n1k,5,1,14,19,19,11,23,468,3,N
bief,b2f,4,3,17,5,0,597,15,165,3,N
vique,vIk,5,1,1,2,0,77,17,238,3,N
ghief,g2f,5,3,120,5,0,6,13,383,3,N
pess,pEs,4,13,600,10,10,543,20,925,3,N
rhoun,r6n,5,0,0,1,1,5,19,579,3,N
gnith,nIT,5,0,0,3,3,11,12,483,3,N
thean,Tin,5,0,0,8,7,119,17,1249,3,N
phown,f6n,5,1,79,17,8,14,18,396,3,N
deace,dis,5,2,85,1,1,349,16,760,3,N
dirp,d3p,4,2,22,1,1,349,10,171,3,N
phiff,fIf,5,1,3,7,7,14,13,305,3,N
frew,fru,4,7,305,28,26,70,20,540,3,N
psyth,sIT,5,0,0,1,1,3,15,460,3,N
jadge,_{_,5,4,59,3,2,104,10,385,3,N
sharn,S#n,5,5,160,5,4,175,15,901,3,N
yeel,jil,4,6,374,10,10,71,20,450,3,N
phuv,fVv,4,1,0,2,2,14,14,116,3,N
dorce,d9s,5,1,157,1,1,349,21,404,3,N
chich,JIJ,5,2,3130,2,2,144,16,1017,3,N
pheem,fim,5,0,0,3,3,14,18,643,3,N
carce,k#s,5,2,5,2,1,695,19,634,3,N
peph,pEf,4,0,0,1,1,543,12,389,3,N
nirm,n3m,4,2,76,1,1,128,12,199,3,N
bymn,bIm,4,1,6,1,1,597,24,22,3,N
mave,m1v,4,17,6714,16,15,296,25,392,3,N
cype,s2p,4,3,131,1,1,695,21,324,3,N
yarm,j#m,4,5,223,6,4,71,10,432,3,N
jark,_#k,4,9,401,10,10,104,14,453,3,N
yurk,j3k,4,4,120,3,3,71,17,213,3,N
hass,h{s,4,14,237,11,6,301,22,453,3,N
sarp,s#p,4,3,9,5,4,1428,13,436,3,N
